Sample Name	Protocol REF	Performer	Date	Extract Name	Protocol REF	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Performer	Date	Extract Name	Characteristics[Folder name]	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File
case001-N1	Nucleic acid extraction WES			case001-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case001-N1-DNA1-WES1	case001-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case001-T1	Nucleic acid extraction WES			case001-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case001-T1-DNA1-WES1	case001-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case002-N1	Nucleic acid extraction WES			case002-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case002-N1-DNA1-WES1	case002-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case002-T1	Nucleic acid extraction WES			case002-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case002-T1-DNA1-WES1	case002-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case003-N1	Nucleic acid extraction WES			case003-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case003-N1-DNA1-WES1	case003-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case003-T1	Nucleic acid extraction WES			case003-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case003-T1-DNA1-WES1	case003-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case004-N1	Nucleic acid extraction WES			case004-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case004-N1-DNA1-WES1	case004-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case004-T1	Nucleic acid extraction WES			case004-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case004-T1-DNA1-WES1	case004-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case005-N1	Nucleic acid extraction WES			case005-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case005-N1-DNA1-WES1	case005-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case005-T1	Nucleic acid extraction WES			case005-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case005-T1-DNA1-WES1	case005-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case006-N1	Nucleic acid extraction WES			case006-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case006-N1-DNA1-WES1	case006-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case006-T1	Nucleic acid extraction WES			case006-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case006-T1-DNA1-WES1	case006-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case007-N1	Nucleic acid extraction WES			case007-N1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case007-N1-DNA1-WES1	case007-N1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
case007-T1	Nucleic acid extraction WES			case007-T1-DNA1	Library construction WES	GENOMIC	WXS	Hybrid Selection	PAIRED	NimbleGen SeqCap EZ Exome			case007-T1-DNA1-WES1	case007-T1-DNA1-WES1	Nucleic acid sequencing WES	ILLUMINA	HiSeq 2000	Phred+33	Baylor College of Medicine Human Genome Sequencing Center				
