Sample Name	Protocol REF	Parameter Value[Methylation kit]	Parameter Value[Manufacturer]	Extract Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Chip model]	Parameter Value[Manufacturer]	Hybridization Assay Name	Protocol REF	Scan Name	Protocol REF	Parameter Value[Software]	Parameter Value[Manufacturer]	Data Transformation Name	Data Transformation Name
CTRL002M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL002M_bsc	Whole genome amplification	CTRL002M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL002M_hyb	Data collection	CTRL002M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL002M_beta	CTRL002M_beta
CTRL002N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL002N_bsc	Whole genome amplification	CTRL002N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL002N_hyb	Data collection	CTRL002N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL002N_beta	CTRL002N_beta
CTRL003M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL003M_bsc	Whole genome amplification	CTRL003M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL003M_hyb	Data collection	CTRL003M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL003M_beta	CTRL003M_beta
CTRL003N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL003N_bsc	Whole genome amplification	CTRL003N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL003N_hyb	Data collection	CTRL003N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL003N_beta	CTRL003N_beta
CTRL004M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL004M_bsc	Whole genome amplification	CTRL004M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL004M_hyb	Data collection	CTRL004M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL004M_beta	CTRL004M_beta
CTRL004N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL004N_bsc	Whole genome amplification	CTRL004N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL004N_hyb	Data collection	CTRL004N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL004N_beta	CTRL004N_beta
CTRL005M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL005M_bsc	Whole genome amplification	CTRL005M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL005M_hyb	Data collection	CTRL005M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL005M_beta	CTRL005M_beta
CTRL005N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL005N_bsc	Whole genome amplification	CTRL005N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL005N_hyb	Data collection	CTRL005N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL005N_beta	CTRL005N_beta
CTRL008M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL008M_bsc	Whole genome amplification	CTRL008M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL008M_hyb	Data collection	CTRL008M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL008M_beta	CTRL008M_beta
CTRL008N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL008N_bsc	Whole genome amplification	CTRL008N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL008N_hyb	Data collection	CTRL008N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL008N_beta	CTRL008N_beta
CTRL009M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL009M_bsc	Whole genome amplification	CTRL009M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL009M_hyb	Data collection	CTRL009M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL009M_beta	CTRL009M_beta
CTRL009N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL009N_bsc	Whole genome amplification	CTRL009N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL009N_hyb	Data collection	CTRL009N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL009N_beta	CTRL009N_beta
CTRL010M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL010M_bsc	Whole genome amplification	CTRL010M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL010M_hyb	Data collection	CTRL010M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL010M_beta	CTRL010M_beta
CTRL010N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL010N_bsc	Whole genome amplification	CTRL010N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL010N_hyb	Data collection	CTRL010N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL010N_beta	CTRL010N_beta
CTRL012M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL012M_bsc	Whole genome amplification	CTRL012M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL012M_hyb	Data collection	CTRL012M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL012M_beta	CTRL012M_beta
CTRL012N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	CTRL012N_bsc	Whole genome amplification	CTRL012N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	CTRL012N_hyb	Data collection	CTRL012N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	CTRL012N_beta	CTRL012N_beta
TB010M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB010M_bsc	Whole genome amplification	TB010M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB010M_hyb	Data collection	TB010M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB010M_beta	TB010M_beta
TB010N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB010N_bsc	Whole genome amplification	TB010N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB010N_hyb	Data collection	TB010N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB010N_beta	TB010N_beta
TB011M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB011M_bsc	Whole genome amplification	TB011M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB011M_hyb	Data collection	TB011M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB011M_beta	TB011M_beta
TB011N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB011N_bsc	Whole genome amplification	TB011N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB011N_hyb	Data collection	TB011N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB011N_beta	TB011N_beta
TB008M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB008M_bsc	Whole genome amplification	TB008M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB008M_hyb	Data collection	TB008M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB008M_beta	TB008M_beta
TB008N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB008N_bsc	Whole genome amplification	TB008N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB008N_hyb	Data collection	TB008N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB008N_beta	TB008N_beta
TB002M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB002M_bsc	Whole genome amplification	TB002M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB002M_hyb	Data collection	TB002M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB002M_beta	TB002M_beta
TB002N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB002N_bsc	Whole genome amplification	TB002N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB002N_hyb	Data collection	TB002N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB002N_beta	TB002N_beta
TB001M	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB001M_bsc	Whole genome amplification	TB001M_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB001M_hyb	Data collection	TB001M_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB001M_beta	TB001M_beta
TB001N	Bisulfite conversion	EZ-96 DNA methylation kit	Zymo Research Corp.	TB001N_bsc	Whole genome amplification	TB001N_amp	Nucleic acid hybridization	Infinium human methylation450K BeadChip	Illumina	TB001N_hyb	Data collection	TB001N_sc	Normalization data transformation	Genomestudio 2011.1	Illumina	TB001N_beta	TB001N_beta
