Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Mass spectrometry Instrument]	Parameter Value[Mass spectrometry resolution]	Scan Name	Protocol REF	Parameter Value[Software1]	Parameter Value[Software1 Manufacturer]	Parameter Value[Software2]	Data Transformation Name	Protocol REF	Data Transformation Name
TB008N	Protein reduction, alkylation and digestion	TB008N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB008N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB008N_dat	MS identification	TB008N_pr
TB002N	Protein reduction, alkylation and digestion	TB002N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB002N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB002N_dat	MS identification	TB002N_pr
TB001N	Protein reduction, alkylation and digestion	TB001N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB001N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB001N_dat	MS identification	TB001N_pr
CTRL008M	Protein reduction, alkylation and digestion	CTRL008M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL008M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL008M_dat	MS identification	CTRL008M_pr
CTRL003M	Protein reduction, alkylation and digestion	CTRL003M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL003M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL003M_dat	MS identification	CTRL003M_pr
TB010M	Protein reduction, alkylation and digestion	TB010M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB010M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB010M_dat	MS identification	TB010M_pr
CTRL005N	Protein reduction, alkylation and digestion	CTRL005N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL005N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL005N_dat	MS identification	CTRL005N_pr
CTRL008N	Protein reduction, alkylation and digestion	CTRL008N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL008N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL008N_dat	MS identification	CTRL008N_pr
CTRL004N	Protein reduction, alkylation and digestion	CTRL004N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL004N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL004N_dat	MS identification	CTRL004N_pr
CTRL002N	Protein reduction, alkylation and digestion	CTRL002N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL002N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL002N_dat	MS identification	CTRL002N_pr
