Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File
P1001-N1	Nucleic acid extraction WGS				P1001-N1-DNA1					Library construction WGS																			P11001-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1002-N1	Nucleic acid extraction WGS				P1002-N1-DNA1					Library construction WGS																			P11002-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1003-N1	Nucleic acid extraction WGS				P1003-N1-DNA1					Library construction WGS																			P11003-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1004-N1	Nucleic acid extraction WGS				P1004-N1-DNA1					Library construction WGS																			P11004-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1005-N1	Nucleic acid extraction WGS				P1005-N1-DNA1					Library construction WGS																			P11005-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1006-N1	Nucleic acid extraction WGS				P1006-N1-DNA1					Library construction WGS																			P11006-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1007-N1	Nucleic acid extraction WGS				P1007-N1-DNA1					Library construction WGS																			P11007-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1008-N1	Nucleic acid extraction WGS				P1008-N1-DNA1					Library construction WGS																			P11008-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1009-N1	Nucleic acid extraction WGS				P1009-N1-DNA1					Library construction WGS																			P11009-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1010-N1	Nucleic acid extraction WGS				P1010-N1-DNA1					Library construction WGS																			P11010-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1011-N1	Nucleic acid extraction WGS				P1011-N1-DNA1					Library construction WGS																			P11011-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1012-N1	Nucleic acid extraction WGS				P1012-N1-DNA1					Library construction WGS																			P11012-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1013-N1	Nucleic acid extraction WGS				P1013-N1-DNA1					Library construction WGS																			P11013-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1014-N1	Nucleic acid extraction WGS				P1014-N1-DNA1					Library construction WGS																			P11014-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1015-N1	Nucleic acid extraction WGS				P1015-N1-DNA1					Library construction WGS																			P11015-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1016-N1	Nucleic acid extraction WGS				P1016-N1-DNA1					Library construction WGS																			P11016-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1017-N1	Nucleic acid extraction WGS				P1017-N1-DNA1					Library construction WGS																			P11017-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1018-N1	Nucleic acid extraction WGS				P1018-N1-DNA1					Library construction WGS																			P11018-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1019-N1	Nucleic acid extraction WGS				P1019-N1-DNA1					Library construction WGS																			P11019-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1020-N1	Nucleic acid extraction WGS				P1020-N1-DNA1					Library construction WGS																			P11020-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1021-N1	Nucleic acid extraction WGS				P1021-N1-DNA1					Library construction WGS																			P11021-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1022-N1	Nucleic acid extraction WGS				P1022-N1-DNA1					Library construction WGS																			P11022-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1023-N1	Nucleic acid extraction WGS				P1023-N1-DNA1					Library construction WGS																			P11023-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1024-N1	Nucleic acid extraction WGS				P1024-N1-DNA1					Library construction WGS																			P11024-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1025-N1	Nucleic acid extraction WGS				P1025-N1-DNA1					Library construction WGS																			P11025-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1026-N1	Nucleic acid extraction WGS				P1026-N1-DNA1					Library construction WGS																			P11026-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1027-N1	Nucleic acid extraction WGS				P1027-N1-DNA1					Library construction WGS																			P11027-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1028-N1	Nucleic acid extraction WGS				P1028-N1-DNA1					Library construction WGS																			P11028-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1029-N1	Nucleic acid extraction WGS				P1029-N1-DNA1					Library construction WGS																			P11029-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1030-N1	Nucleic acid extraction WGS				P1030-N1-DNA1					Library construction WGS																			P11030-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1031-N1	Nucleic acid extraction WGS				P1031-N1-DNA1					Library construction WGS																			P11031-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1032-N1	Nucleic acid extraction WGS				P1032-N1-DNA1					Library construction WGS																			P11032-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
